IDENTIF	RIVER	LOCATION	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
s	d	s	c	d	c	c	d	d	d	d	d	d
i		i						multiclass	multiclass	multiclass	multiclass	multiclass
E1	2	3	1818	4		2	1	1	1	1	1	1
E2	1	25	1819	4	1037	2	1	1	1	1	1	1
E3	1	39	1829	2		1	1	1	1		1	1
E5	1	29	1837	4	1000	2	1	1	1	1	1	1
E6	2	23	1838	4		2	1	1	1		1	1
E7	1	27	1840	4	990	2	1	1	1	2	1	1
E8	1	28	1844	2	1000	1	1	1	2	1	1	2
E9	2	3	1846	4	1500	2	1	1	2	1	1	2
E10	1	39	1848	2		1	1	2	1		1	1
E11	1	29	1851	4	1000	2	1	1	1	2	1	1
E12	1	39	1853	3		2	1	2	1		1	1
E14	2	6	1856	4	1200	2	1	1	1	2	1	1
E13	1	33	1856	4		2	1	1	1		1	1
E15	1	28	1857	3		2	1	1	1		1	1
E16	1	25	1859	4	1030	2	1	1	2	2	2	2
E17	2	4	1863	3	1000	2	1	1	2	2		3
E18	1	28	1864	3	1200	2	1	1	2	1	1	3
E19	1	29	1866	4	1000	2	1	1	1	2	1	1
E20	1	32	1870	4	1000	2	1	1	1	2	1	1
E21	2	16	1874	3		2		1	2			3
E23	2	1	1876	4	1245			1	3	3	3	2
E22	1	24	1876	4	1200	4	2	1	1	1	1	1
E24	3	45	1878	3		2	2		3			3
E25	2	10	1882	3		2	2		3			3
E27	1	39	1883	3		2	2	1	3		3	3
E26	2	12	1883	3	1150	2	2	1	3	2	1	3
E30	1	31	1884	3		2	2	1	3	2	3	3
E29	1	26	1884	4	1080	2	2	1	3	2		2
E28	2	3	1884	4	1000	2	2	1	3	2	1	4
E32	1	30	1887	4		2	2	1	2	2	3	3
E31	2	8	1887	3	1161	2	2	1	3	2	1	3
E34	3	41	1888	3	4558	2	2	1	3	3	3	3
E33	2	19	1889	4	1120		2	1	2	2	3	3
E36	3	45	1890	4		2	2	1	2	1	3	3
E35	1	27	1890	4	1000	2	2	1	3	2	3	3
E38	2	17	1891	4		2	2	1	2	2	3	3
E37	2	18	1891	3	1350	2	2	1	3	2	1	3
E39	1	25	1892	4		2	2	1	3	2	3	3
E4	1	27	1892	2	1092	1	1	1	1	1	1	1
E40	2	22	1893	4		2	2	1	3	2	3	3
E41	2	11	1894	4		2	2	1	2	2	3	3
E42	2	9	1895	4	2367	2	2	1	3	3	3	3
E44	3	48	1896	4		2	2	1	3	3	3	2
E43	2	7	1896	4	1040	2	2	1	3	3	3	4
E46	1	37	1897	3	4000	2	2	2	3	3	3	3
E45	2	14	1897	3	2264		2	1	3		3	3
E47	2	15	1898	3	2000	2	2	1	3	2	1	3
E58	1	33	1900	4	1200	2	2	1	3	2	3	3
E48	1	38	1900	4	2000	2	2	1	3	2	3	3
E94	2	13	1901	3		2	2	1	3	3	3	3
E49	1	34	1902	4	1850	2	2	1	3	2	3	5
E95	2	16	1903	3	1300	2	2	1	3	2	1	3
E87	1	35	1903	3	3000	2	2	1	3	2	1	3
E51	2	6	1903	3	1417	2	2	1	3	2	3	3
E50	2	21	1903	3	1154		2	1	3	3	3	3
E89	2	4	1904	3	1200	2	2	1	3	2	2	3
E53	1	28	1904	3	965	4	2	1	3	2	2	3
E52	2	2	1904	3	1504		2	1	3	3	3	5
E54	4		1908	4	1240		2		3	2	3	3
E56	2	23	1909	4			2	1	3	2	3	3
E55	1	36	1909	4	1730	2	2	1	3	3	3	3
E57	3	49	1910	3	1620	2	2	1	3	3	3	5
E59	3	43	1911	4	1652	2	2	1	3	3	3	5
E107	1	39	1914	3			2		3		3	
E92	2	10	1914	3	2210		2	1	3	2	3	3
E61	3	41	1915	3	2822	2	2	1	3	3	3	3
E60	1	24	1915	4	1000	4	2	1	3	3	3	3
E62	1	37	1918	3	2300	2	1	2	3	3	3	6
E63	1	31	1920	3	2122	2	2	1	3	2	3	3
E65	1	30	1921	1			2	1	3		3	2
E64	1	29	1923	4	885	4	2	1	3	2	3	4
E66	1	32	1924	4	2365	4	2	1	3	2	1	4
E70	1	27	1926	4	860	4	2	1	3	2	2	2
E69	1	26	1926	4	884	4	2	1	3	2	2	2
E101	3	46	1927	4	1770	2	2	1	3	3	2	5
E73	1	38	1927	4	1508		2	1	3	2	1	4
E72	2	5	1927	4	2663	4	1	2	3	2	2	5
E67	2	1	1927	4	1330	4	2	1	3	3	3	5
E75	1	30	1928	4	2678	4	2	2	3	2	3	4
E74	2	20	1928	4	2220	2	2	2	3	2	2	5
E71	1	25	1928	4	860	4	2	1	3	2	2	2
E68	2	17	1928	4	2250	2	2	1	3	2	1	3
E78	3	40	1931	4	1365	4	2	1	3	3	3	4
E77	3	42	1931	4	1450	4	1	1	3	3	3	4
E76	2	6	1931	4	1500	4	2	1	3	3	3	2
E93	2	11	1937	4	1690	4	1	2	3	3	2	6
E79	1	34	1939	4	1800	4	2	2	3	2	3	5
E108	1	39.5	1945	4	1060	4	2	2	3	2	2	6
E107N	1	39.7	1945	3	840	2	2	1	3	2	2	3
E105	1	38.5	1945	4	1710	2	1	2	3	2	2	6
E103	3	48	1945	4	2160	2	2	1	3	3	3	5
E97	4	52	1945	4			2	1	3	2	1	4
E96	4	51	1945	3			2	1	3	2	3	3
E99	2	23	1950	4	1320	2	2	1	3	2	2	3
E98	2	22	1951	4	900	4	2	1	3	2	3	6
E81	2	14	1951	4	2423	4	2	2	3	3	3	6
E80	2	19	1951	4	1031	4	2	1	3	3	3	5
E88	1	37	1955	4	2300	4	1	2	3	3	3	6
E82	3	42	1955	4	804		2	1	3		3	3
E102	3	47	1959	4	1700	2	2	1	3	3	3	6
E83	2	1	1959	4	1000	6	2	1	3	3	3	4
E86	1	33	1961	4	980	4	2	2	3	2	2	6
E85	2	9	1962	4	2213	4	2	2	3	3	3	6
E84	1	24	1969	4	870	6	2	1	3	2	3	4
E91	3	44	1975	4	3756	6	2	1	3	3	3	4
E90	2	7	1978	4	950	6	2	1	3	3	3	4
E100	3	43	1982	4			2				3	
E109	1	28	1986	4			2				3	
